vessel_id,vessel_name,vessel_flag,vessel_type,ssvid,event_start,event_end,duration_hrs,avg_speed_knots,total_distance_km,bbox_area_km2,net_displacement_ratio,lat,lon,dist_shore_km,dist_port_km,in_mpa,in_mpa_no_take,in_mpa_partial,on_high_seas,eez,rfmo,auth_status,potential_risk_flag,mpa_tier_weight,auth_multiplier,high_seas_mult,risk_flag_mult,risk_score
67b7f07a0-02e6-f717-a2e9-61faad186514,SU GAN YU 09456,CHN,fishing,412364474,2022-12-25 04:44:52+00:00,2023-01-01 04:49:48+00:00,168.08,2.13,609.58,258.78,0.0411,34.9465,120.1413,49.0,16.57,0,0,0,0,['8486'],"['ACAP', 'IWC', 'PICES', 'WCPFC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
812e32e8c-c6b1-2da4-fdd6-883635439693,NO.301 MANSEON,KOR,fishing,440320210,2022-12-31 09:51:22+00:00,2023-01-01 04:58:38+00:00,19.12,2.106,50.69,120.96,0.3303,33.3825,125.8047,36.0,43.42,0,0,0,0,['8327'],"['WCPFC', 'PICES', 'IWC', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
ce1fdd83d-dbfd-979e-e209-a5f3673054c0,LIAO PU YU 15062,CHN,fishing,412376651,2022-12-31 10:06:02+00:00,2023-01-03 06:57:56+00:00,68.86,2.241,235.0,64.0,0.0485,38.6501,121.7288,26.0,25.59,0,0,0,0,['8486'],"['PICES', 'IWC', 'ACAP', 'WCPFC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
623d7ee20-06fd-1bda-19a2-c6866ae45179,JINTANGYU03165,CHN,fishing,412300437,2022-12-31 10:08:45+00:00,2023-01-01 01:31:25+00:00,15.38,0.956,13.48,5.53,0.47,38.9345,117.9229,13.0,0.87,0,0,0,0,['8486'],"['IWC', 'WCPFC', 'PICES', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
5a5d88fd5-5de4-ddaf-2e17-f6fe81812101,LUOI XU 66F38,VNM,fishing,574099966,2022-12-31 10:09:23+00:00,2023-01-01 02:28:30+00:00,16.32,1.154,14.1,13.73,0.9483,9.1291,107.3759,80.0,134.46,0,0,0,0,['8484'],"['WCPFC', 'SEAFDEC', 'ACAP', 'IWC', 'APFIC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
76fef57fb-bab1-3b9b-9065-680d1e18b370,ZHELINYU21835,CHN,fishing,412414122,2022-12-31 10:10:16+00:00,2023-01-01 02:50:13+00:00,16.67,0.661,17.15,18.66,0.3908,30.6047,122.4595,7.0,6.16,0,0,0,0,['8486'],"['ACAP', 'IWC', 'PICES', 'WCPFC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
a0af0e2b8-8409-d3e6-438b-716152b473a4,108 SIN GWANG,KOR,fishing,440329010,2022-12-31 10:10:32+00:00,2023-01-01 00:01:40+00:00,13.85,1.344,34.52,44.64,0.3624,34.3411,127.9314,21.0,22.42,0,0,0,0,['8327'],"['IWC', 'WCPFC', 'PICES', 'ACAP']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
cfdf78429-9835-b42d-30a4-11aa2184639c,FV ANDROMEDA,ZAF,fishing,601762000,2022-12-31 10:10:41+00:00,2023-01-01 05:24:04+00:00,19.22,2.286,84.4,581.52,0.5804,-35.761,21.2115,158.0,162.13,0,0,0,0,['8396'],"['IWC', 'CCSBT-Primary-Area', 'CCSBT', 'ACAP', 'IOTC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
c1c9dcc0c-cb92-3254-67cb-050b73625ab2,LULANYU77633,CHN,fishing,412327089,2022-12-31 08:41:46+00:00,2023-01-01 00:56:56+00:00,16.25,2.701,73.32,12.05,0.0762,35.035,119.4442,10.0,0.0,0,0,0,0,['8486'],"['WCPFC', 'ACAP', 'PICES', 'IWC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
fbe038228-8cb9-4183-e3fc-b841226d994d,ZHELINGYU95068,CHN,fishing,412417858,2022-12-31 08:43:51+00:00,2023-01-01 07:12:38+00:00,22.48,2.512,98.6,622.26,0.368,28.2396,123.6423,145.0,143.66,0,0,0,0,['8486'],"['ACAP', 'IWC', 'APFIC', 'WCPFC']",not_matching_relevant_public_authorization,0,1.0,2.0,1.0,1.0,2.0
