speed,lat,lon,is_fishing,shiptype,label
5.0999999046,-23.3000736237,164.1746368408,1.0,drifting_longlines,1
3.0999999046,-2.3243100643,-178.8954620361,1.0,drifting_longlines,1
9.3000001907,-21.1165008545,36.4063339233,1.0,drifting_longlines,1
3.0,71.1792984009,22.0201663971,1.0,trawlers,1
1.0,75.2105102539,38.9209480286,1.0,unknown,1
2.7999999523000003,54.6135749817,8.0644369125,1.0,trawlers,1
3.0,4.5155935287,-146.3723297119,1.0,drifting_longlines,1
8.1000003815,-23.035320282,163.5023956299,1.0,drifting_longlines,1
2.9000000954000003,53.4999275208,5.9022517204,1.0,unknown,1
2.5,38.09324646,-27.0171852112,1.0,unknown,1
2.9000000954000003,72.6147918701,6.3888731003,1.0,trawlers,1
3.2000000477,54.3860549927,-9.3624629974,1.0,trawlers,1
10.3999996185,21.8013324738,-18.8209991455,1.0,drifting_longlines,1
0.6000000238000001,55.0916213989,14.6759901047,1.0,fixed_gear,1
3.2000000477,62.4861602783,-30.6457862854,1.0,trawlers,1
4.0999999046,42.6590270996,15.7066020966,1.0,trawlers,1
10.5,-26.9254074097,8.5014848709,1.0,drifting_longlines,1
2.0,51.5536460876,-8.130726814299999,1.0,unknown,1
1.7999999523,56.2222671509,7.325366497,0.6666667,fixed_gear,1
12.5,-38.1709518433,-83.8060302734,1.0,trawlers,1
6.5,-19.8026676178,43.7130012512,1.0,drifting_longlines,1
3.0,55.3531990051,-164.2118682861,1.0,drifting_longlines,1
3.7999999523,45.8041152954,-47.1465682983,1.0,drifting_longlines,1
4.1999998093,9.0224084854,-23.6580429077,1.0,drifting_longlines,1
6.6999998093,-25.718166351300003,2.9913332462,1.0,drifting_longlines,1
10.6999998093,-10.7148332596,-113.7480010986,1.0,drifting_longlines,1
11.1000003815,21.9314994812,-18.3018341064,1.0,drifting_longlines,1
7.0,-25.718000412,2.992000103,1.0,drifting_longlines,1
0.0,43.713047027600005,15.5779695511,0.6666667,unknown,1
2.0,-2.8191850185000003,-149.0766601562,1.0,drifting_longlines,1
0.1000000015,41.1832809448,-8.6985235214,1.0,fixed_gear,1
9.8000001907,35.9736213684,23.9017391205,1.0,fixed_gear,1
3.0999999046,63.7514381409,-57.9520072937,1.0,trawlers,1
10.5,-18.7134513855,7.847869873,1.0,drifting_longlines,1
3.2999999523000003,75.80165100100001,26.4384059906,1.0,trawlers,1
4.9000000954,-38.8340835571,100.7168502808,1.0,drifting_longlines,1
3.0999999046,43.76699829100001,-8.855257988,1.0,trawlers,1
10.0,42.3410110474,14.4782552719,1.0,purse_seines,1
3.4000000954000003,-39.4187774658,-78.8018569946,1.0,trawlers,1
9.1999998093,-30.2914829254,64.08749389649999,1.0,drifting_longlines,1
2.4000000954,38.2654914856,-28.1311397552,1.0,unknown,1
0.8000000119,-42.0658340454,-0.0074999998,1.0,drifting_longlines,1
8.8999996185,-44.5721664429,-7.0931668282,1.0,drifting_longlines,1
11.3999996185,9.4043331146,-28.9273338318,1.0,drifting_longlines,1
1.6000000238,-6.4405651093,-18.4586772919,1.0,drifting_longlines,1
2.0999999046,33.469783783000004,-16.6183185577,1.0,unknown,1
4.3000001907,-19.1619606018,164.0847015381,1.0,drifting_longlines,1
0.0,42.3566818237,14.4124317169,0.33333334,trawlers,1
9.8000001907,45.3188171387,-47.9384498596,1.0,drifting_longlines,1
3.2000000477,72.533706665,6.2051148415,1.0,trawlers,1
2.5,-8.0213212967,155.477355957,1.0,drifting_longlines,1
7.3000001907,-28.4585838318,-122.9806137085,1.0,drifting_longlines,1
7.3000001907,43.1370506287,-45.6678848267,1.0,drifting_longlines,1
1.2000000477,38.3170776367,-30.101467132600003,1.0,unknown,1
3.2000000477,70.5108566284,18.0622615814,1.0,trawlers,1
3.5,24.1084365845,166.17697143549998,1.0,unknown,1
5.599999904600001,-27.8769607544,-132.96434021,1.0,drifting_longlines,1
9.1000003815,-19.75,43.7226676941,1.0,drifting_longlines,1
4.1999998093,60.7011070251,3.0864367485,1.0,trawlers,1
5.0,-6.8706665039,-119.3991699219,1.0,drifting_longlines,1
3.7000000477,-37.7763175964,35.5110321045,1.0,drifting_longlines,1
0.0,37.7366714478,-25.6696624756,0.33333334,unknown,1
7.1999998093,-22.8467311859,6.6059317589,1.0,drifting_longlines,1
3.4000000954000003,72.6269302368,6.4122748375,1.0,trawlers,1
3.0999999046,72.4555969238,5.9021315575,1.0,trawlers,1
2.5999999046,25.1249694824,-15.6035346985,1.0,trawlers,1
1.3999999762,-17.8576755524,162.96614074709998,0.75,drifting_longlines,1
2.4000000954,38.2024765015,-28.529750824,1.0,unknown,1
2.7999999523000003,71.30838012699999,24.2424316406,1.0,trawlers,1
4.9000000954,-1.8366216421,-139.2458953857,1.0,drifting_longlines,1
4.5,33.3629684448,-16.7840557098,1.0,unknown,1
10.6000003815,-44.8078346252,-6.992000103,1.0,drifting_longlines,1
3.4000000954000003,53.525547027600005,5.615501880599999,0.6666667,trawlers,1
6.5,13.2872171402,-26.5252838135,1.0,drifting_longlines,1
7.099999904600001,-10.7556428909,163.56410217290002,1.0,drifting_longlines,1
4.9000000954,-21.9018974304,36.6310653687,1.0,drifting_longlines,1
10.1000003815,-8.5573101044,11.807841301,1.0,drifting_longlines,1
6.5,-17.544250488299998,162.4976196289,1.0,drifting_longlines,1
0.6000000238000001,38.3032951355,-28.150560379,1.0,unknown,1
1.2000000477,23.0224609375,-16.8876571655,1.0,trawlers,1
0.6000000238000001,15.3965702057,159.3588867188,1.0,drifting_longlines,1
10.5,58.5988998413,-6.0215501785,1.0,trawlers,1
6.0,42.7509613037,14.37657547,1.0,purse_seines,1
3.9000000954,53.4749717712,5.5080299377,1.0,unknown,1
10.1000003815,-16.389829635599998,6.1352915764,1.0,drifting_longlines,1
3.9000000954,43.8142547607,13.4529218674,0.75,unknown,1
6.900000095399999,-2.6735515594,-179.57472229,1.0,drifting_longlines,1
